category,repo,url,stars,last_updated,description
Agent Skills,FlineDev/ContextKit,https://github.com/FlineDev/ContextKit,166,2026-03-10,Claude Code context engineering & planning system for individual AI development workflows
Agent Skills,muratcankoylan/Agent-Skills-for-Context-Engineering,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,15282,2026-04-14,"A comprehensive collection of Agent Skills for context engineering, multi-agent architectures, and production agent systems. Use when building, optimizing, or debugging agent systems that require effective context management."
Agent Skills,NeoLabHQ/context-engineering-kit,https://github.com/NeoLabHQ/context-engineering-kit,866,2026-04-22,"Hand-crafted Claude Code Skills focused on improving agent results quality. Compatible with OpenCode, Cursor, Antigravity, Gemini CLI, and others."
Awesome Lists,EgoAlpha/prompt-in-context-learning,https://github.com/EgoAlpha/prompt-in-context-learning,2226,2026-04-02,"Awesome resources for in-context learning and prompt engineering: Mastery of the LLMs such as ChatGPT, GPT-3, and FlanT5, with up-to-date and cutting-edge updates."
Awesome Lists,Meirtz/Awesome-Context-Engineering,https://github.com/Meirtz/Awesome-Context-Engineering,3084,2026-03-10,"🔥 Comprehensive survey on Context Engineering: from prompt engineering to production-grade AI systems. hundreds of papers, frameworks, and  implementation guides for LLMs and AI agents."
Awesome Lists,Xnhyacinth/Awesome-LLM-Long-Context-Modeling,https://github.com/Xnhyacinth/Awesome-LLM-Long-Context-Modeling,1973,2026-04-15,📰 Must-read papers and blogs on LLM based Long Context Modeling 🔥
Education,coleam00/context-engineering-intro,https://github.com/coleam00/context-engineering-intro,13206,2026-03-16,"Context engineering is the new vibe coding - it's the way to actually make AI coding assistants work. Claude Code is the best for this so that's what this repo is centered around, but you can apply this strategy with any AI coding assistant!"
Education,davidkimai/Context-Engineering,https://github.com/davidkimai/Context-Engineering,8776,2026-02-27,"""Context engineering is the delicate art and science of filling the context window with just the right information for the next step."" — Andrej Karpathy. A frontier, first-principles handbook inspired by Karpathy and 3Blue1Brown for moving beyond prompt engineering to the wider discipline of context design, orchestration, and optimization."
Tools,0xranx/OpenContext,https://github.com/0xranx/OpenContext,485,2026-01-30,"A personal context store for AI agents and assistants—reuse your existing coding agent CLI (Codex/Claude/OpenCode) with built‑in Skills/tools and a desktop GUI to capture, search, and reuse project knowledge across agents and repos."
Tools,airweave-ai/airweave,https://github.com/airweave-ai/airweave,6258,2026-04-24,Open-source context retrieval layer for AI agents
Tools,andrefigueira/.context,https://github.com/andrefigueira/.context,240,2026-04-21,"A Git-native, AI-optimized documentation system that turns your repo into a living knowledge base."
Tools,andrewyng/context-hub,https://github.com/andrewyng/context-hub,13038,2026-04-25,
Tools,chopratejas/headroom,https://github.com/chopratejas/headroom,1527,2026-04-25,The Context Optimization Layer for LLM Applications
Tools,CodeGraphContext/CodeGraphContext,https://github.com/CodeGraphContext/CodeGraphContext,3044,2026-04-13,An MCP server plus a CLI tool that indexes local code into a graph database to provide context to AI assistants.
Tools,Compresr-ai/Context-Gateway,https://github.com/Compresr-ai/Context-Gateway,592,2026-04-14,Context Gateway is an agentic proxy that enhances any AI agent workflow with instant history compaction and context optimization tools
Tools,Context-Engine-AI/Context-Engine,https://github.com/Context-Engine-AI/Context-Engine,386,2026-04-15,Context-Engine MCP - Agentic Context Compression Suite
Tools,davis7dotsh/better-context,https://github.com/davis7dotsh/better-context,1049,2026-04-12,A better way to get up to date context on libraries/technologies in your projects
Tools,feifeibear/long-context-attention,https://github.com/feifeibear/long-context-attention,665,2026-01-15,"USP: Unified (a.k.a. Hybrid, 2D) Sequence Parallel Attention for Long Context Transformers Model Training and Inference"
Tools,FreeU-group/FreeTodo,https://github.com/FreeU-group/FreeTodo,2131,2026-04-14,Auto-Manage Your Personal Task Context with AI.
Tools,GLips/Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,14512,2026-04-20,MCP server to provide Figma layout information to AI coding agents like Cursor
Tools,grapeot/context-infrastructure,https://github.com/grapeot/context-infrastructure,416,2026-04-24,"A context and memory system for AI coding agents. Persistent memory, personal rules, skills, and scheduled observations"
Tools,GreatScottyMac/context-portal,https://github.com/GreatScottyMac/context-portal,761,2026-01-27,Context Portal (ConPort): A memory bank MCP server building a project-specific knowledge graph to supercharge AI assistants. Enables powerful Retrieval Augmented Generation (RAG) for context-aware development in your IDE.
Tools,intel/acat,https://github.com/intel/acat,3225,2026-04-23,Assistive Context-Aware Toolkit (ACAT)
Tools,kayba-ai/agentic-context-engine,https://github.com/kayba-ai/agentic-context-engine,2163,2026-04-24,🧠 Make your agents learn from experience. Now available as a hosted solution at kayba.ai
Tools,Martian-Engineering/lossless-claw,https://github.com/Martian-Engineering/lossless-claw,4453,2026-04-23,Lossless Claw — LCM (Lossless Context Management) plugin for OpenClaw
Tools,mksglu/context-mode,https://github.com/mksglu/context-mode,9917,2026-04-25,"Context window optimization for AI coding agents. Sandboxes tool output, 98% reduction. 12 platforms"
Tools,mordang7/ContextKeep,https://github.com/mordang7/ContextKeep,150,2026-04-07,Infinite Long-Term Memory for AI Agents (MCP Server)
Tools,neuledge/context,https://github.com/neuledge/context,184,2026-04-19,Local-first documentation for AI agents
Tools,parcadei/Continuous-Claude-v3,https://github.com/parcadei/Continuous-Claude-v3,3731,2026-01-26,Context management for Claude Code. Hooks maintain state via ledgers and handoffs. MCP execution without context pollution. Agent orchestration with isolated context windows.
Tools,qdrant/mcp-server-qdrant,https://github.com/qdrant/mcp-server-qdrant,1364,2026-03-31,An official Qdrant Model Context Protocol (MCP) server implementation
Tools,shcherbak-ai/contextgem,https://github.com/shcherbak-ai/contextgem,1823,2026-03-16,ContextGem: Effortless LLM extraction from documents
Tools,Tencent/WeKnora,https://github.com/Tencent/WeKnora,14000,2026-04-24,"LLM-powered framework for deep document understanding, semantic retrieval, and context-aware answers using RAG paradigm."
Tools,trustgraph-ai/trustgraph,https://github.com/trustgraph-ai/trustgraph,2022,2026-04-24,"The context development platform. Store, enrich, and retrieve structured knowledge with graph-native infrastructure, semantic retrieval, and portable context cores."
Tools,udecode/dotai,https://github.com/udecode/dotai,1153,2026-03-30,Context manager for all agents
Tools,upstash/context7,https://github.com/upstash/context7,53684,2026-04-24,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors
Tools,volcengine/OpenViking,https://github.com/volcengine/OpenViking,23026,2026-04-25,"OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving."
Tools,zilliztech/claude-context,https://github.com/zilliztech/claude-context,9184,2026-04-24,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.
